Obs;LEERLAANT_TOTAAL;FTE_1;FTE_2;FTE_34;FTE_TOTAAL;FTE_BEDRAG_1;FTE_BEDRAG_2;FTE_BEDRAG_34;GEWPERC_VROUW_1;GEWPERC_VROUW_2;GEWPERC_VROUW_34;GEWGEM_LEEFTIJD_1;GEWGEM_LEEFTIJD_2;GEWGEM_LEEFTIJD_34;GEWPERC_DEELTIJD_1;GEWPERC_DEELTIJD_2;GEWPERC_DEELTIJD_34;GEWGEM_ERVARING_1;GEWGEM_ERVARING_2;GEWGEM_ERVARING_34;TOTALE_KOSTEN;KOST_DIRECTIE_JAAR;KOST_ONDERWIJZEND_JAAR;KOST_ONDERSTEUNING_JAAR;MAT_KOSTEN2;WMAN;WOP;WOND;PIG;ID_NUMMER;JAAR;REGIO;CATEGORIE;AANTALBRINSPERBG;TOT_LASTEN;AANTALVESTIGINGENPERBRIN;PERC_DEELTIJD;INNOV1;INNOV2;INNOV3;INNOV4;INNOV5;PERC_STED;TRADITIONEELBELEID;SLAGINGSPERCENTAGE;CONCURRENTIE;AGGR_RENDEMENT;INNOV_TOTAAL;APCG;CE;AANDEEL_AUTOCHTOON;AANDEEL_ONBEKEND;AANDEEL_NIETWESTALLOCHANTIL;AANDEEL_NIETWESTALLOCHSURINAAMS;AANDEEL_NIETWESTALLOCHTURKS;AANDEEL_OVERIGNIETWESTALLOCHTOON;AANDEEL_WESTERSALLOCHTOON;AANDEEL_OPGETELD;KOST111;KOST222;KOST333444;CE_VMBO;CE_HAVO;CE_VWO;DRBA1;DRBA2;DRBA3;DRBA4;DRBA5;DRBA6;DRBA7;DRBA8;DRBA9;DRBA10;DRBA11;DRBA12;DRBA13;DRBA14;DRBA15;DRBA16;DRBA17;DRBA18;JAAR_mean;N_BREAK
210,0000;645,0000;4,1020;68,0305;7,0263;79,1587;4471,0151;217141,2410;7921,5549;0,8000;0,3771;0,5291;42,6000;46,4042;48,1163;0,0000;0,1901;0,2155;3,6000;12,7377;3,8653;5322210,1055;83467,6547;4053725,9917;147884,4504;889247,5583;78354,7522;75733,7712;17161,3534;1,8313;36,0000;2007,0000;10,0000;4,0000;1,0000;5507253,4920;1,0000;0,1883;3,0000;13,0000;8,0000;4,0000;2,0000;0,7619;0,0000;1,0000;0,1267;0,8499;30,0000;2,6524;63,1538;0,3733;0,0522;0,0355;0,2108;0,0387;0,1943;0,0952;1,0000;20348,1015;59586,9211;21047,2920;63,1538;#NULL!;#NULL!;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
222,0000;2569,0000;15,7869;177,9295;27,5175;221,2338;77052,5464;604242,0270;27465,4093;0,1814;0,3695;0,6300;51,7356;43,9465;43,5797;0,0000;0,2573;0,4824;15,5805;10,5983;2,3990;16036780,5028;1332070,6940;10446028,5011;474817,1019;3309047,1039;77571,3142;73256,5805;16648,3790;1,6096;38,0000;2007,0000;5,0000;7,0000;1,0000;16003285,4310;2,0000;0,2422;8,0000;10,0000;15,0000;8,0000;6,0000;0,0391;1,0000;0,9431;0,3802;0,7955;47,0000;0,1068;64,0345;0,8656;0,0011;0,0045;0,0133;0,0236;0,0381;0,0538;1,0000;84378,4008;58708,8109;17255,0999;64,2809;63,7250;63,8222;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
246,0000;334,0000;4,3121;25,3700;4,6862;34,3683;8022,2142;80943,4089;4227,6220;0,0000;0,5351;0,0920;53,5971;43,6043;24,3832;0,0000;0,3150;0,2152;15,3936;10,0692;1,7348;2007859,0449;137268,5939;1385027,5808;72339,0972;340884,6758;78424,9292;74204,4333;17063,2872;1,7829;42,0000;2007,0000;8,0000;3,0000;2,0000;2030970,0012;1,0000;0,2912;4,0000;9,0000;9,0000;6,0000;2,0000;0,4820;1,0000;0,9296;0,4103;0,8694;30,0000;2,6524;61,6154;0,8377;0,0000;0,0000;0,0228;0,0542;0,0484;0,0369;1,0000;31833,2151;54593,1857;15436,5897;61,6154;#NULL!;#NULL!;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
258,0000;383,0000;1,0000;34,3998;4,8557;40,2555;4500,0000;117533,1762;4548,8726;0,0000;0,4390;0,3614;50,0000;42,7922;31,9289;0,0000;0,2934;0,3409;30,0000;12,4890;2,3247;2796095,4655;79040,4697;2064417,2123;79898,8948;492839,9939;77233,1566;72764,3523;16165,2265;1,8462;44,0000;2007,0000;2,0000;4,0000;4,0000;2786402,5449;1,0000;0,3075;1,0000;13,0000;14,0000;9,0000;5,0000;0,0000;0,0000;1,0000;0,9756;0,8994;42,0000;2,6524;62,4706;0,8993;0,0041;0,0222;0,0151;0,0000;0,0081;0,0513;1,0000;79040,4697;60012,4831;16454,5591;62,4706;#NULL!;#NULL!;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
276,0000;2230,0000;10,0000;182,3273;43,7875;236,1148;50835,0000;610398,1740;46245,7640;0,0000;0,3387;0,4784;54,0689;45,4467;47,1821;0,0000;0,1865;0,4113;16,0756;14,1350;3,4155;16890345,7671;949793,2959;11404585,2941;864048,7185;2807869,7401;77233,1566;72764,3523;16165,2265;1,5586;47,0000;2007,0000;2,0000;7,0000;1,0000;16768416,4654;4,0000;0,1918;2,0000;24,0000;17,0000;12,0000;10,0000;0,0000;1,0000;0,9721;0,4023;0,8187;65,0000;0,0247;64,5974;0,8959;0,0006;0,0059;0,0084;0,0012;0,0299;0,0580;1,0000;94979,3296;62550,0695;19732,7712;66,4125;62,4545;62,7805;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
294,0000;774,0000;4,2544;52,3116;13,5851;70,1510;9763,6266;183409,5261;10987,1065;0,3571;0,4397;0,4084;48,0857;43,6692;49,6020;0,0000;0,4030;0,2376;21,2286;9,4428;3,0528;4872371,9698;178022,8942;3344156,4282;200330,9398;949530,7679;78354,7522;75733,7712;17161,3534;1,6864;52,0000;2007,0000;10,0000;10,0000;3,0000;4838295,3653;1,0000;0,3434;5,0000;13,0000;9,0000;8,0000;2,0000;0,9688;1,0000;0,9519;0,0673;0,8692;37,0000;2,6524;71,3438;0,6817;0,0000;0,0095;0,0403;0,0216;0,0763;0,1707;1,0000;41844,8868;63927,6603;14746,3990;#NULL!;#NULL!;71,3438;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
346,0000;1157,0000;6,4355;77,3974;9,1006;92,9335;30592,1744;276438,1965;10089,6401;0,0967;0,3812;0,2958;52,2743;44,1728;51,4019;0,0198;0,2343;0,4781;15,8822;10,6612;2,7107;7868802,0426;644074,2676;5820008,9488;212422,8724;979873,0814;78424,9292;74204,4333;17063,2872;1,8082;64,0000;2007,0000;8,0000;8,0000;12,0000;7995057,5638;1,0000;0,2276;4,0000;10,0000;12,0000;4,0000;3,0000;0,8067;1,0000;0,8454;0,0347;0,7763;33,0000;2,6524;61,1887;0,6716;0,0068;0,0350;0,0602;0,0668;0,0651;0,0946;1,0000;100081,6814;75196,4312;23341,6897;56,5882;61,8478;62,3023;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
401,0000;330,0000;1,9000;24,8750;6,9769;33,7519;9663,2227;79059,0309;7101,8124;0,2408;0,5789;0,2696;54,7575;41,4875;23,3184;0,0000;0,3455;0,2289;22,1829;11,1957;1,6590;2495516,5883;190221,4996;1556284,8901;139799,8842;469410,4301;80333,4871;74189,0774;16926,4604;1,7336;74,0000;2007,0000;3,0000;4,0000;1,0000;2458615,2229;1,0000;0,3493;1,0000;19,0000;16,0000;8,0000;4,0000;0,0000;1,0000;1,0000;0,2981;0,9376;48,0000;2,6524;62,3704;0,8739;0,0000;0,0044;0,0044;0,0000;0,0557;0,0615;1,0000;100116,5788;62564,2167;20037,5359;62,3704;#NULL!;#NULL!;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
419,0000;4629,0000;32,7815;344,4669;50,8867;428,1351;155369,6541;1203386,5205;53003,2108;0,2449;0,3858;0,5444;52,3739;46,6153;43,7327;0,0077;0,2490;0,1688;18,9961;13,7185;4,1341;32033074,9498;2837767,9037;21979399,1465;968083,5759;5279740,7479;77571,3142;73256,5805;16648,3790;1,6920;77,0000;2007,0000;5,0000;6,0000;14,0000;32296629,8544;6,0000;0,2296;3,0000;11,0000;15,0000;12,0000;2,0000;0,4880;0,0000;0,9825;0,1035;0,8107;43,0000;4,3126;64,3862;0,7011;0,0049;0,0172;0,0182;0,1343;0,0548;0,0695;1,0000;86566,2221;63806,9966;19024,2878;62,0423;64,1569;67,0448;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
431,0000;719,0000;5,1398;71,3788;11,8552;88,3738;9688,9471;220311,9057;19885,0931;0,0000;0,4138;0,6231;57,2020;42,4061;47,0837;0,0000;0,2009;0,2571;26,9758;11,2819;3,9278;6283921,5622;175872,7974;3999079,6582;360952,2198;1387064,6669;77233,1566;72764,3523;16165,2265;1,6456;79,0000;2007,0000;2,0000;4,0000;1,0000;6029895,0249;1,0000;0,1942;5,0000;16,0000;12,0000;10,0000;3,0000;0,0000;0,0000;1,0000;0,3380;0,9483;46,0000;2,6524;61,4444;0,9031;0,0000;0,0086;0,0018;0,0000;0,0431;0,0434;1,0000;34218,1527;56026,1768;30446,6246;61,4444;#NULL!;#NULL!;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
